
100 outputs of genrand_real2()
0.29564643 0.26446964 0.07770019 0.87012716 0.17257794 
0.09381602 0.93311636 0.85806853 0.06970570 0.10923967 
0.96801949 0.26179036 0.71305445 0.40791145 0.98622075 
0.57404929 0.94382537 0.86912708 0.52393307 0.54567600 
0.65658972 0.52898301 0.45701610 0.67356587 0.59962836 
0.02774702 0.56078425 0.03286611 0.45607772 0.70392743 
0.87329063 0.72135646 0.84974526 0.39623233 0.57492939 
0.04432531 0.43172280 0.06683128 0.08304258 0.72837357 
0.32370772 0.06216615 0.11106121 0.91407536 0.04581507 
0.29369391 0.29889061 0.26891060 0.06838192 0.06397647 
0.49361850 0.31033388 0.67034659 0.94350321 0.91722270 
0.46411910 0.97206755 0.15801248 0.98829580 0.56841702 
0.35042790 0.36647509 0.53576576 0.21866017 0.20249764 
0.69850673 0.66095606 0.54109369 0.10949705 0.90166992 
0.16889271 0.11049779 0.57465602 0.26498930 0.74859132 
0.45268949 0.53856886 0.04689175 0.39019938 0.29899015 
0.89409261 0.38406931 0.49261766 0.38558681 0.82371639 
0.93909314 0.65528520 0.92794541 0.17306016 0.38549166 
0.64832926 0.50526400 0.38371302 0.19874833 0.81717860 
0.94237185 0.17191286 0.28331500 0.78154440 0.46996975 

100 outputs of runif()
0.29564643 0.26446964 0.07770019 0.87012716 0.17257794 
0.09381602 0.93311636 0.85806853 0.06970570 0.10923967 
0.96801949 0.26179036 0.71305445 0.40791145 0.98622075 
0.57404929 0.94382537 0.86912708 0.52393307 0.54567600 
0.65658972 0.52898301 0.45701610 0.67356587 0.59962836 
0.02774702 0.56078425 0.03286611 0.45607772 0.70392743 
0.87329063 0.72135646 0.84974526 0.39623233 0.57492939 
0.04432531 0.43172280 0.06683128 0.08304258 0.72837357 
0.32370772 0.06216615 0.11106121 0.91407536 0.04581507 
0.29369391 0.29889061 0.26891060 0.06838192 0.06397647 
0.49361850 0.31033388 0.67034659 0.94350321 0.91722270 
0.46411910 0.97206755 0.15801248 0.98829580 0.56841702 
0.35042790 0.36647509 0.53576576 0.21866017 0.20249764 
0.69850673 0.66095606 0.54109369 0.10949705 0.90166992 
0.16889271 0.11049779 0.57465602 0.26498930 0.74859132 
0.45268949 0.53856886 0.04689175 0.39019938 0.29899015 
0.89409261 0.38406931 0.49261766 0.38558681 0.82371639 
0.93909314 0.65528520 0.92794541 0.17306016 0.38549166 
0.64832926 0.50526400 0.38371302 0.19874833 0.81717860 
0.94237185 0.17191286 0.28331500 0.78154440 0.46996975 

1000 outputs of randint(100)
29	26	7	87	17	9	93	85	6	10	
96	26	71	40	98	57	94	86	52	54	
65	52	45	67	59	2	56	3	45	70	
87	72	84	39	57	4	43	6	8	72	
32	6	11	91	4	29	29	26	6	6	
49	31	67	94	91	46	97	15	98	56	
35	36	53	21	20	69	66	54	10	90	
16	11	57	26	74	45	53	4	39	29	
89	38	49	38	82	93	65	92	17	38	
64	50	38	19	81	94	17	28	78	46	
60	73	1	0	0	41	59	44	52	74	
61	59	59	85	62	60	35	27	38	80	
41	1	10	8	89	79	80	60	36	67	
80	93	23	17	35	14	99	69	9	59	
99	36	44	12	23	21	17	78	72	12	
25	39	21	91	29	97	77	22	59	75	
23	69	18	5	70	65	27	81	70	13	
40	42	91	71	10	83	83	96	83	45	
65	66	88	46	11	67	82	36	63	1	
10	78	67	73	21	1	72	3	68	80	
22	58	32	12	95	7	40	41	86	80	
16	52	28	36	39	82	4	13	72	65	
83	20	86	64	21	92	43	53	27	88	
31	35	18	7	14	45	58	43	30	66	
3	64	24	11	13	87	97	34	13	82	
18	53	28	40	57	60	51	44	52	85	
33	67	14	19	61	94	87	98	24	47	
60	90	85	38	46	85	69	51	24	93	
4	68	7	71	20	95	80	97	75	49	
61	91	57	57	24	9	77	59	1	75	
94	78	41	15	77	99	52	21	97	20	
78	36	51	24	75	31	7	16	94	33	
32	79	37	61	26	32	66	55	26	46	
18	48	89	55	70	34	87	1	4	60	
56	48	23	2	79	50	94	6	54	66	
62	66	90	45	29	96	36	0	3	47	
68	4	54	10	98	31	84	43	20	87	
67	52	70	18	8	26	32	66	68	0	
83	79	87	45	98	92	6	32	67	28	
21	51	13	39	82	72	49	91	86	12	
5	97	13	43	62	9	43	92	55	85	
17	81	40	70	11	95	33	49	87	91	
81	7	77	90	81	31	56	17	75	30	
30	2	97	99	70	98	7	51	42	17	
94	98	80	31	83	73	49	57	94	56	
59	16	77	23	71	70	55	64	18	9	
50	72	23	10	26	72	67	89	62	56	
49	68	90	38	45	75	6	95	35	49	
88	29	1	8	17	67	15	61	65	99	
17	64	28	13	40	7	67	70	32	2	
92	10	74	19	51	23	19	65	57	11	
42	22	78	67	73	76	95	20	96	62	
96	65	5	76	16	67	54	23	59	64	
15	63	64	38	22	8	54	73	7	26	
9	49	54	10	76	30	80	19	20	9	
13	77	52	89	1	30	92	30	71	66	
52	48	66	7	34	69	58	63	98	20	
88	0	12	90	81	72	71	69	43	24	
42	97	85	88	78	84	89	79	81	70	
4	51	20	4	88	10	61	54	89	1	
97	91	99	20	18	23	34	4	30	46	
60	60	91	60	50	81	43	18	80	33	
19	40	53	63	80	71	20	42	16	58	
32	4	92	0	70	79	20	38	65	65	
38	53	97	56	71	18	8	13	72	89	
32	65	91	13	30	51	81	48	76	45	
95	75	18	4	20	58	34	22	76	75	
52	55	92	44	43	57	69	21	97	91	
34	79	28	79	35	93	72	64	20	11	
69	48	33	44	73	71	86	32	53	30	
62	33	19	45	65	75	17	27	22	44	
49	93	67	38	0	1	89	48	19	22	
19	47	90	56	46	16	17	37	91	91	
0	10	87	10	48	25	57	8	39	2	
91	73	69	28	98	66	28	87	44	40	
96	13	35	58	68	15	78	21	19	7	
23	42	99	82	81	28	29	63	95	12	
84	90	78	27	91	72	45	42	84	94	
38	58	47	77	34	82	21	32	83	80	
48	49	37	57	5	98	75	93	22	15	
66	33	41	42	13	5	4	62	94	32	
58	40	77	88	77	36	43	69	5	38	
28	11	26	73	93	43	55	31	61	14	
14	9	40	49	97	58	54	34	62	9	
51	89	49	5	48	3	66	22	30	35	
30	98	77	54	2	68	80	50	53	15	
57	86	96	46	3	89	1	73	12	46	
52	63	59	47	52	59	75	7	59	27	
11	24	67	78	3	40	72	27	89	64	
68	40	31	39	49	50	43	85	27	69	
0	18	58	1	63	89	55	80	94	85	
7	8	29	49	20	13	3	80	6	66	
0	84	66	33	27	56	17	10	49	57	
84	92	78	29	26	52	26	7	77	32	
22	50	53	88	18	2	52	85	24	92	
85	50	45	57	74	98	29	96	24	4	
77	74	86	9	27	0	65	31	51	39	
12	71	15	34	38	76	81	36	93	71	
39	37	16	24	72	11	36	77	99	33	
21	9	71	40	58	80	69	8	59	95	
